2024-12-09 12:50:42,630 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 12:50:42,641 | INFO | django.server | "GET /api/user-info/ HTTP/1.1" 200 149
2024-12-09 12:50:42,656 | INFO | django.server | "GET /api/employees/?branch=2 HTTP/1.1" 200 578
2024-12-09 12:54:10,213 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\signals.py changed, reloading.
2024-12-09 12:54:11,514 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:11:59,294 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\signals.py changed, reloading.
2024-12-09 13:12:00,868 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:12:08,610 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\signals.py changed, reloading.
2024-12-09 13:12:10,072 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:12:41,206 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\signals.py changed, reloading.
2024-12-09 13:12:42,440 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:14:46,278 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:14:48,504 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:21:03,713 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:21:04,857 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 13:21:07,276 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 13:21:08,472 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
